City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,East London,ZA,2021-04-20 19:49:00,-33.0153,27.9116,66.72,83,48,13.6
68,Enshi,CN,2021-04-20 19:45:17,30.3,109.4833,59.92,97,97,1.41
69,Yulara,AU,2021-04-20 19:46:53,-25.2406,130.9889,51.8,62,0,8.05
70,Pemangkat,ID,2021-04-20 19:49:01,1.1667,108.9667,77.18,85,2,4.09
71,Busselton,AU,2021-04-20 19:49:01,-33.65,115.3333,46.99,89,6,1.01
72,Cabo San Lucas,MX,2021-04-20 19:45:37,22.8909,-109.9124,82.0,61,1,10.36
73,Constitucion,CL,2021-04-20 19:49:02,-35.3333,-72.4167,57.69,90,100,20.87
74,Clyde River,CA,2021-04-20 19:49:02,70.4692,-68.5914,6.8,85,20,4.61
75,Avarua,CK,2021-04-20 19:49:02,-21.2078,-159.775,78.8,73,40,12.66
76,Khatanga,RU,2021-04-20 19:49:02,71.9667,102.5,-15.21,100,100,1.5
77,Dauriya,RU,2021-04-20 19:49:03,49.9333,116.8667,49.87,31,4,3.89
78,Kidal,ML,2021-04-20 19:49:03,18.4411,1.4078,91.2,6,25,6.04
79,Tonneins,FR,2021-04-20 19:49:04,44.3921,0.3124,60.8,51,0,2.3
80,Ampanihy,MG,2021-04-20 19:49:04,-24.7,44.75,68.07,82,4,14.54
81,Songea,TZ,2021-04-20 19:49:04,-10.6833,35.65,69.8,94,75,2.93
82,Jermuk,AM,2021-04-20 19:49:05,39.8417,45.6723,47.93,69,87,1.48
83,Carnarvon,AU,2021-04-20 19:49:05,-24.8667,113.6333,69.8,68,0,17.27
84,Kholodnyy,RU,2021-04-20 19:49:05,62.7167,147.95,25.48,95,100,3.67
85,Georgetown,MY,2021-04-20 19:48:55,5.4112,100.3354,82.0,89,20,4.61
86,Hobart,AU,2021-04-20 19:48:52,-42.8794,147.3294,39.2,81,4,13.8
87,Cidreira,BR,2021-04-20 19:49:06,-30.1811,-50.2056,71.51,70,8,13.78
88,Gat,IL,2021-04-20 19:49:06,31.61,34.7642,68.0,100,0,6.4
89,Yambio,SS,2021-04-20 19:49:07,4.5721,28.3955,67.93,95,100,7.23
90,Kinkala,CG,2021-04-20 19:49:07,-4.3614,14.7644,80.6,78,20,2.3
91,Songjianghe,CN,2021-04-20 19:49:08,42.1859,127.479,42.19,66,7,5.03
92,Tura,IN,2021-04-20 19:49:08,25.5198,90.2201,73.17,72,0,5.44
93,Campos,BR,2021-04-20 19:47:32,-21.75,-41.3,86.0,48,40,6.04
94,Tamiahua,MX,2021-04-20 19:49:09,21.2667,-97.45,79.81,65,97,12.91
95,Hilo,US,2021-04-20 19:46:33,19.7297,-155.09,80.6,57,20,6.91
96,Lagoa,PT,2021-04-20 19:49:09,39.05,-27.9833,61.45,89,99,20.4
97,Chekhov,RU,2021-04-20 19:45:20,55.1431,37.4711,37.0,96,100,8.68
98,Porto Murtinho,BR,2021-04-20 19:49:10,-21.6989,-57.8825,95.16,22,1,3.27
99,Bara,NG,2021-04-20 19:49:10,10.3744,10.7288,91.98,18,99,5.44
100,Severo-Kurilsk,RU,2021-04-20 19:49:10,50.6789,156.125,34.63,95,99,19.26
101,Vuktyl,RU,2021-04-20 19:49:11,63.8567,57.3094,29.88,95,57,1.97
102,Chuy,UY,2021-04-20 19:49:11,-33.6971,-53.4616,68.9,66,9,11.72
103,Sakakah,SA,2021-04-20 19:49:11,29.9697,40.2064,86.0,10,0,10.36
104,Dawei,MM,2021-04-20 19:49:12,14.0833,98.2,76.39,89,92,1.48
105,Chokurdakh,RU,2021-04-20 19:49:12,70.6333,147.9167,15.62,99,99,3.87
106,Saint George,US,2021-04-20 19:45:59,37.1041,-113.5841,75.99,14,1,5.75
107,Baie-Comeau,CA,2021-04-20 19:49:12,49.2168,-68.1489,41.0,87,90,20.71
108,Gobabis,NA,2021-04-20 19:49:13,-22.45,18.9667,63.05,31,0,10.92
109,Korla,CN,2021-04-20 19:49:13,41.7597,86.1469,63.37,29,95,1.48
110,Thompson,CA,2021-04-20 19:49:13,55.7435,-97.8558,32.0,64,90,12.66
111,Xining,CN,2021-04-20 19:49:14,36.6167,101.7667,46.56,52,100,0.56
112,Kuruman,ZA,2021-04-20 19:49:14,-27.4524,23.4325,60.01,56,8,8.75
113,Tala,EG,2021-04-20 19:49:14,30.6803,30.9429,58.28,76,1,6.4
114,Mount Isa,AU,2021-04-20 19:49:15,-20.7333,139.5,73.4,25,6,10.36
115,Lebu,CL,2021-04-20 19:49:15,-37.6167,-73.65,55.63,94,100,6.31
116,Fortuna,US,2021-04-20 19:49:15,40.5982,-124.1573,53.01,100,90,11.5
117,Vadinsk,RU,2021-04-20 19:49:16,53.6916,43.0574,40.6,91,100,26.69
118,Maarianhamina,AX,2021-04-20 19:49:04,60.0973,19.9348,42.8,56,0,5.75
119,Oxapampa,PE,2021-04-20 19:49:16,-10.5775,-75.4017,70.02,75,47,4.36
120,Puyo,EC,2021-04-20 19:46:05,-1.4667,-77.9833,77.0,65,75,3.44
121,Port-Gentil,GA,2021-04-20 19:49:17,-0.7193,8.7815,80.6,89,20,4.61
122,Meulaboh,ID,2021-04-20 19:49:17,4.1363,96.1285,77.22,87,91,4.63
123,Kruisfontein,ZA,2021-04-20 19:49:17,-34.0033,24.7314,63.0,87,24,1.01
124,Mbanza-Ngungu,CD,2021-04-20 19:49:17,-5.25,14.8667,69.8,80,100,2.8
125,Zhigansk,RU,2021-04-20 19:49:18,66.7697,123.3711,-4.07,100,80,6.15
126,Caloundra,AU,2021-04-20 19:49:18,-26.8,153.1333,64.0,80,0,1.01
127,Puerto Ayora,EC,2021-04-20 19:49:19,-0.7393,-90.3518,82.4,74,40,19.57
128,Saint-Pierre,RE,2021-04-20 19:49:19,-21.3393,55.4781,75.2,94,75,9.22
129,Gali,GE,2021-04-20 19:49:19,42.6265,41.7381,56.16,96,100,2.01
130,Mnogovershinnyy,RU,2021-04-20 19:49:20,53.9353,139.9242,16.9,86,57,4.29
131,Riverton,US,2021-04-20 19:49:20,40.5219,-111.9391,54.0,43,1,9.22
132,Beringovskiy,RU,2021-04-20 19:49:20,63.05,179.3167,18.68,83,12,2.73
133,Ucluelet,CA,2021-04-20 19:45:12,48.9329,-125.5528,50.0,93,90,4.61
134,New Norfolk,AU,2021-04-20 19:44:51,-42.7826,147.0587,39.0,84,10,3.31
135,Belomorsk,RU,2021-04-20 19:49:21,64.5232,34.7668,38.62,76,31,4.97
136,Sabha,LY,2021-04-20 19:48:14,27.0377,14.4283,74.57,24,96,11.43
137,Jalu,LY,2021-04-20 19:49:21,29.0331,21.5482,68.0,22,6,9.46
138,Rawson,AR,2021-04-20 19:49:21,-43.3002,-65.1023,57.2,88,75,9.22
139,Ixtapa,MX,2021-04-20 19:49:22,20.7,-105.2,82.4,65,1,11.5
140,Keetmanshoop,NA,2021-04-20 19:49:22,-26.5833,18.1333,69.8,23,0,6.91
141,Wakkanai,JP,2021-04-20 19:49:22,45.4094,141.6739,40.32,61,93,29.06
142,Nouakchott,MR,2021-04-20 19:45:41,18.0858,-15.9785,68.0,77,58,23.02
143,Lasa,IT,2021-04-20 19:49:23,46.6166,10.7002,57.2,56,0,2.3
144,Itarema,BR,2021-04-20 19:49:23,-2.9248,-39.9167,79.45,81,46,8.57
145,Hami,CN,2021-04-20 19:48:06,42.8,93.45,64.15,26,9,6.67
146,Vinstra,NO,2021-04-20 19:49:24,61.5952,9.7523,39.27,87,100,5.79
147,Irbil,IQ,2021-04-20 19:48:27,36.1926,44.0106,73.4,35,100,3.44
148,Kaitangata,NZ,2021-04-20 19:49:24,-46.2817,169.8464,46.58,84,7,5.03
149,Aykhal,RU,2021-04-20 19:49:24,66.0,111.5,-1.48,98,88,2.28
150,Cherskiy,RU,2021-04-20 19:49:25,68.75,161.3,33.17,69,14,19.22
151,Lisala,CD,2021-04-20 19:49:25,2.15,21.5167,69.76,89,98,3.04
152,Santa Adelia,BR,2021-04-20 19:49:25,-21.2428,-48.8042,76.91,45,2,12.75
153,Hokitika,NZ,2021-04-20 19:49:26,-42.7167,170.9667,52.23,72,100,3.98
154,Porto Novo,BJ,2021-04-20 19:49:26,6.4965,2.6036,84.2,79,40,10.36
155,Manzhouli,CN,2021-04-20 19:49:26,49.6,117.4333,48.43,35,14,3.65
156,Qaanaaq,GL,2021-04-20 19:45:45,77.484,-69.3632,2.98,74,99,5.79
157,Tromso,NO,2021-04-20 19:49:27,69.6496,18.957,46.4,57,75,6.91
158,Vostok,RU,2021-04-20 19:47:30,46.4856,135.8833,25.41,52,0,5.48
159,Berlevag,NO,2021-04-20 19:49:27,70.8578,29.0864,44.6,53,0,28.77
160,Epiniana,GR,2021-04-20 19:49:28,39.1429,21.6134,39.0,83,26,5.12
161,San Vicente,AR,2021-04-20 19:49:28,-26.6167,-54.1333,79.25,36,14,2.73
162,Ilhabela,BR,2021-04-20 19:46:25,-23.7781,-45.3581,71.55,83,39,8.16
163,Wenling,CN,2021-04-20 19:49:29,28.3669,121.36,57.65,91,34,3.06
164,Pisco,PE,2021-04-20 19:49:29,-13.7,-76.2167,75.2,64,0,23.02
