City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Description
69,Upernavik,72.7868,-56.1549,7.5,overcast clouds,84,97,5.01,GL,overcast clouds
70,San Vicente,-26.6167,-54.1333,63.63,scattered clouds,61,34,3.15,AR,scattered clouds
71,Bridgetown,13.1,-59.6167,78.8,few clouds,61,20,18.41,BB,few clouds
72,Beringovskiy,63.05,179.3167,28.99,few clouds,69,13,0.16,RU,few clouds
73,Geraldton,-28.7667,114.6,64.4,clear sky,63,0,13.8,AU,clear sky
74,Biltine,14.5333,20.9167,83.88,clear sky,7,0,7.09,TD,clear sky
75,Aguimes,27.9054,-15.4461,68.0,scattered clouds,72,40,17.27,ES,scattered clouds
76,Busselton,-33.65,115.3333,44.01,clear sky,91,4,9.6,AU,clear sky
77,Tasiilaq,65.6145,-37.6368,23.0,few clouds,68,20,1.14,GL,few clouds
78,Port Alfred,-33.5906,26.891,67.59,overcast clouds,81,90,16.04,ZA,overcast clouds
79,Esperance,-33.8667,121.9,53.6,broken clouds,100,75,5.75,AU,broken clouds
80,Soyo,-6.1349,12.3689,78.62,light rain,86,100,6.76,AO,light rain
81,Georgetown,5.4112,100.3354,81.0,few clouds,89,20,3.44,MY,few clouds
82,Bethel,41.3712,-73.414,69.8,clear sky,35,1,10.36,US,clear sky
83,Vila Do Maio,15.1333,-23.2167,69.8,clear sky,78,0,10.36,CV,clear sky
84,Linxi,39.7,118.4333,60.67,overcast clouds,48,100,0.16,CN,overcast clouds
85,Victor Harbor,-35.5667,138.6167,54.0,broken clouds,71,60,5.12,AU,broken clouds
86,Fairbanks,64.8378,-147.7164,45.0,clear sky,33,1,10.36,US,clear sky
87,Awjilah,29.1081,21.2869,61.56,scattered clouds,48,38,10.83,LY,scattered clouds
88,Portage,41.1667,-81.1998,39.99,broken clouds,65,75,10.36,US,broken clouds
89,El Carmen,8.5106,-73.4478,73.94,broken clouds,71,80,4.79,CO,broken clouds
90,Krasnoselkup,65.7,82.4667,-8.1,few clouds,97,15,7.9,RU,few clouds
91,Tuktoyaktuk,69.4541,-133.0374,17.6,snow,86,75,25.32,CA,snow
92,Ushuaia,-54.8,-68.3,44.6,few clouds,49,20,6.91,AR,few clouds
93,Faanui,-16.4833,-151.75,81.68,light rain,72,67,10.09,PF,light rain
94,Tiksi,71.6872,128.8694,11.95,light snow,94,100,11.18,RU,light snow
95,San Patricio,28.017,-97.5169,80.6,clear sky,50,1,18.41,US,clear sky
96,Nellikkuppam,11.7667,79.6833,81.37,overcast clouds,82,100,8.05,IN,overcast clouds
97,Yellowknife,62.456,-114.3525,46.4,clear sky,53,1,5.75,CA,clear sky
98,Aklavik,68.2191,-135.0107,21.2,snow,73,90,16.11,CA,snow
99,Bluff,-46.6,168.3333,57.0,moderate rain,78,70,7.0,NZ,moderate rain
100,Airai,-8.9266,125.4092,61.97,overcast clouds,80,90,0.31,TL,overcast clouds
101,The Pas,53.8251,-101.2541,39.2,overcast clouds,45,90,11.5,CA,overcast clouds
102,Gat,31.61,34.7642,64.99,clear sky,100,1,4.54,IL,clear sky
103,Jamestown,42.097,-79.2353,37.99,overcast clouds,55,90,6.91,US,overcast clouds
104,Shepsi,44.0361,39.1489,51.46,light rain,88,99,9.35,RU,light rain
105,Mayna,54.1135,47.6231,39.56,moderate rain,45,100,21.74,RU,moderate rain
106,Coquimbo,-29.9533,-71.3436,60.8,few clouds,77,20,2.3,CL,few clouds
107,Hargeysa,9.56,44.065,70.66,broken clouds,68,80,5.1,SO,broken clouds
108,Santander,43.4647,-3.8044,55.4,overcast clouds,94,90,3.44,ES,overcast clouds
109,Tibu,8.639,-72.7358,81.57,few clouds,69,17,1.77,CO,few clouds
110,Mookane,-23.688,26.6595,59.14,few clouds,63,20,5.97,BW,few clouds
111,Collecchio,44.754,10.2184,50.0,clear sky,54,1,1.99,IT,clear sky
112,Manado,1.487,124.8455,78.8,few clouds,83,20,1.14,ID,few clouds
113,Nileshwar,12.25,75.1,78.51,overcast clouds,83,100,7.52,IN,overcast clouds
114,Vallenar,-28.5708,-70.7581,60.22,clear sky,67,0,3.2,CL,clear sky
115,Lazaro Cardenas,17.9583,-102.2,82.62,broken clouds,43,73,10.11,MX,broken clouds
116,Katsuura,35.1333,140.3,66.2,clear sky,37,0,14.97,JP,clear sky
117,Talcahuano,-36.7167,-73.1167,57.2,overcast clouds,94,90,5.75,CL,overcast clouds
118,Chhoti Sadri,24.3833,74.7,73.53,overcast clouds,42,100,4.81,IN,overcast clouds
119,Carnarvon,-24.8667,113.6333,62.6,clear sky,72,0,8.05,AU,clear sky
120,Cabo San Lucas,22.8909,-109.9124,81.0,clear sky,50,1,10.36,MX,clear sky
121,Sulphur Springs,33.1385,-95.6011,57.0,scattered clouds,54,40,21.85,US,scattered clouds
122,Nuuk,64.1835,-51.7216,30.2,broken clouds,93,75,13.8,GL,broken clouds
123,Mantua,45.1667,10.7833,50.0,few clouds,76,11,4.61,IT,few clouds
124,Erdaojiang,41.7764,126.0319,56.75,clear sky,46,0,2.35,CN,clear sky
125,College,64.8569,-147.8028,44.6,few clouds,29,20,3.44,US,few clouds
126,Ancud,-41.8697,-73.8203,50.0,moderate rain,100,90,6.8,CL,moderate rain
127,Horta,38.5333,-28.6333,61.57,overcast clouds,91,99,13.78,PT,overcast clouds
128,Dingle,10.9995,122.6711,79.63,overcast clouds,80,100,7.18,PH,overcast clouds
129,Kimbe,-5.5502,150.1429,81.52,light rain,83,87,0.81,PG,light rain
